"brown",*
"brown",*
"Manizales",50
5.12850093841547,-75.7115020751953
5.13490104675304,-75.7052001953124
5.14000082015997,-75.6983032226561
5.14580011367809,-75.689697265625
5.15209913253784,-75.690803527832
5.15379905700695,-75.6827011108398
5.15549993515015,-75.6706008911132
5.15370082855225,-75.6625976562499
5.14669990539551,-75.6470031738281
5.14320087432861,-75.6308975219727
5.14950084686285,-75.6118011474609
5.15630006790167,-75.594497680664
5.14940118789679,-75.5801010131834
5.14230108261108,-75.5594024658203
5.13190078735352,-75.5495986938477
5.119700908661,-75.5369033813475
5.11269998550426,-75.524803161621
5.11090087890631,-75.5127029418945
5.11369991302496,-75.4885025024414
5.10620021820068,-75.4746017456054
5.10150003433222,-75.4630966186523
5.10080003738403,-75.4446029663085
5.10069990158092,-75.4209976196288
5.09600019454956,-75.4013977050781
5.09709882736217,-75.3852996826172
5.10110092163097,-75.3650970458984
5.09649991989136,-75.3656997680663
5.08490085601807,-75.3650970458984
5.08370018005371,-75.3610000610352
5.06809902191162,-75.3610000610352
5.05080080032354,-75.3621978759766
5.04330015182495,-75.3599014282225
5.03350019454962,-75.3570022583008
5.02650117874146,-75.3563995361328
5.0225009918214,-75.3627014160156
5.01500177383417,-75.3656005859374
5.00930023193354,-75.3707962036133
5.00640106201183,-75.3852005004883
5.00819921493525,-75.4030990600584
5.01179981231695,-75.4215011596679
5.01649999618536,-75.4400024414061
5.01080179214483,-75.4589996337891
5.00970077514654,-75.4671020507811
5.01270008087158,-75.4895019531249
5.01500177383417,-75.5045013427734
5.0267009735108,-75.5263977050781
5.02969980239874,-75.5484008789061
5.02510118484497,-75.5598983764648
5.0198998451234,-75.5743026733398
5.00960111618048,-75.5759963989257
5.00199985504156,-75.5759963989257
4.99050188064587,-75.5840988159179
4.98589992523199,-75.5904006958007
4.98199987411505,-75.6060028076172
4.98029994964594,-75.6163024902344
4.97910118103039,-75.6203994750977
4.98430013656616,-75.625602722168
4.98780107498175,-75.6302032470703
4.99360084533697,-75.6331024169921
5.00110006332397,-75.6331024169921
5.00110006332397,-75.6360015869141
5.00689983367914,-75.6313018798828
5.02309989929205,-75.6324996948242
5.03230094909679,-75.6360015869141
5.03929996490479,-75.6440963745116
5.04389905929577,-75.6492004394531
5.05149984359747,-75.6589965820311
5.05270099639904,-75.6716995239258
5.07299900054943,-75.6856002807617
5.08050012588507,-75.6977005004883
5.08629989624023,-75.7058029174804
5.09380102157604,-75.7052001953124
5.10540008544933,-75.7012023925781
5.11579895019531,-75.6999969482422
5.12160015106201,-75.7058029174804
5.12850093841547,-75.7115020751953
