"green",*
"green",*
"chinchina",*
5.05130004882812,-75.7425994873046
5.04659986495972,-75.7386016845703
5.03330087661749,-75.7379989624023
5.02410078048706,-75.7379989624023
5.0090007781983,-75.7247009277344
5.00150108337402,-75.7115020751953
4.99619913101191,-75.6976013183593
4.99319982528687,-75.678596496582
4.99319982528687,-75.6688003540038
4.99889993667603,-75.6567001342773
5.00349903106701,-75.6435012817382
5.00519990921026,-75.638298034668
5.00110006332397,-75.6360015869141
5.00110006332397,-75.6331024169921
4.99360084533697,-75.6331024169921
4.98780107498175,-75.6302032470703
4.98430013656616,-75.625602722168
4.97910118103039,-75.6203994750977
4.97219991683971,-75.6272964477538
4.95890092849731,-75.6272964477538
4.94910097122192,-75.6267013549805
4.9352011680603,-75.6209030151367
4.92660093307501,-75.6192016601561
4.92539978027344,-75.6238021850585
4.92660093307501,-75.638801574707
4.93419981002808,-75.6509017944335
4.94460010528564,-75.6520996093749
4.9549989700318,-75.6619033813476
4.95909976959234,-75.678596496582
4.95749998092657,-75.6884002685547
4.94710016250605,-75.6877975463867
4.92859983444225,-75.6884002685547
4.92230081558233,-75.6969985961913
4.9217009544372,-75.7108993530273
4.9217991828919,-75.7229995727539
4.92350006103516,-75.7264022827147
4.93460083007812,-75.747802734375
4.95310115814215,-75.7575988769531
4.96530103683483,-75.7575988769531
4.98029994964594,-75.758201599121
4.99420118331909,-75.7615966796875
5.0046000480653,-75.7674026489257
5.01900005340582,-75.77490234375
5.0324010848999,-75.7841033935547
5.03410100936901,-75.773696899414
5.03809881210339,-75.7674026489257
5.04320001602184,-75.7553024291992
5.04610109329235,-75.7500991821289
5.05130004882812,-75.7425994873046
