"green",*
"green",*
"Salamina",*
5.45800018310553,-75.3398971557617
5.44929790496832,-75.3365020751953
5.43880081176758,-75.3277969360352
5.42779922485357,-75.3202972412109
5.41450119018566,-75.3173980712891
5.40700006484985,-75.318000793457
5.3948998451234,-75.3186035156249
5.38679981231695,-75.3190994262695
5.38049983978271,-75.3255004882811
5.37300014495861,-75.3323974609375
5.36320018768305,-75.3432998657226
5.3510999679566,-75.3415985107422
5.34760093688976,-75.3347015380859
5.33370113372814,-75.3294982910156
5.32970094680798,-75.3380966186523
5.32400083541864,-75.3543014526367
5.32229995727545,-75.3657989501953
5.31080007553095,-75.3785018920897
5.2900009155274,-75.3796005249023
5.277901172638,-75.3831024169922
5.26290178298945,-75.3899993896484
5.2433009147644,-75.3917007446289
5.23060178756714,-75.401496887207
5.22370004653942,-75.401496887207
5.2202000617981,-75.3996963500977
5.22089910507202,-75.415298461914
5.23190116882324,-75.4216003417968
5.24289989471436,-75.4240036010742
5.25040102004999,-75.4319992065429
5.26719999313354,-75.4401016235351
5.27009916305541,-75.4580001831054
5.27310085296631,-75.4689025878906
5.28179979324341,-75.4776000976561
5.2933988571167,-75.4879989624023
5.30670022964489,-75.5007019042969
5.32469987869257,-75.5121994018554
5.33390092849731,-75.5203018188476
5.33230113983149,-75.5335006713867
5.33169984817505,-75.5421981811523
5.33750009536743,-75.5432968139647
5.34789991378796,-75.5467987060546
5.36009979248047,-75.5485000610352
5.37860012054443,-75.5542984008789
5.38950109481812,-75.5560989379883
5.41150093078619,-75.548599243164
5.41610097885132,-75.548599243164
5.42710018157965,-75.5531997680663
5.43289995193481,-75.5567016601561
5.43570089340221,-75.5538024902344
5.43740081787115,-75.5450973510742
5.43160104751598,-75.5329971313475
5.42580080032354,-75.52490234375
5.42630004882812,-75.5058975219726
5.42740011215209,-75.4915008544921
5.42789983749395,-75.4758987426758
5.42729997634899,-75.4604034423828
5.41800117492681,-75.4494018554688
5.4162011146546,-75.4349975585938
5.42130184173583,-75.4195022583007
5.42469978332525,-75.4096984863281
5.42010021209717,-75.4045028686523
5.41719913482672,-75.398696899414
5.41830015182495,-75.3889007568359
5.42520093917841,-75.3785018920897
5.43039989471436,-75.371597290039
5.43550109863287,-75.3607025146484
5.4394998550415,-75.3519973754883
5.45219993591309,-75.3503036499023
5.45390176773077,-75.3444976806641
5.45800018310553,-75.3398971557617
